id,taxi_stand_id,taxi_stand_name,taxi_flow_count,people_count,taxi_presence,time_stamp
16658,1,WestGate,0,0,1,"2014-11-17 00:00:00"
16659,1,WestGate,0,0,1,"2014-11-17 00:00:15"
16660,1,WestGate,0,0,1,"2014-11-17 00:00:30"
16661,1,WestGate,0,0,1,"2014-11-17 00:00:45"
16662,1,WestGate,0,2,1,"2014-11-17 08:58:17"
16663,1,WestGate,0,2,1,"2014-11-17 08:58:32"
16664,1,WestGate,0,2,1,"2014-11-17 08:58:47"
16665,1,WestGate,0,2,1,"2014-11-17 08:59:02"
16666,1,WestGate,0,2,1,"2014-11-17 08:59:17"
16667,1,WestGate,0,2,1,"2014-11-17 08:59:32"
16668,1,WestGate,0,2,1,"2014-11-17 08:59:47"
16669,1,WestGate,0,1,1,"2014-11-17 09:00:02"
16670,1,WestGate,0,1,1,"2014-11-17 09:00:17"
16671,1,WestGate,0,1,1,"2014-11-17 09:00:32"
16672,1,WestGate,0,2,1,"2014-11-17 09:00:47"
16673,1,WestGate,0,1,1,"2014-11-17 09:01:02"
16674,1,WestGate,0,0,1,"2014-11-17 09:01:17"
16675,1,WestGate,0,0,1,"2014-11-17 09:01:32"
16676,1,WestGate,0,0,1,"2014-11-17 09:01:47"
16677,1,WestGate,0,0,1,"2014-11-17 09:02:02"
16678,1,WestGate,0,0,1,"2014-11-17 09:02:17"
16679,1,WestGate,0,0,1,"2014-11-17 09:02:32"
16680,1,WestGate,1,0,1,"2014-11-17 09:02:47"
16681,1,WestGate,1,1,1,"2014-11-17 09:03:02"
16682,1,WestGate,0,0,1,"2014-11-17 09:03:17"
16683,1,WestGate,0,0,1,"2014-11-17 09:03:32"
16684,1,WestGate,0,0,1,"2014-11-17 09:03:47"
16685,1,WestGate,0,0,1,"2014-11-17 09:04:02"
16686,1,WestGate,0,1,1,"2014-11-17 09:04:17"
16687,1,WestGate,0,0,1,"2014-11-17 09:04:32"
16688,1,WestGate,0,0,1,"2014-11-17 09:04:47"
16689,1,WestGate,0,0,1,"2014-11-17 09:05:02"
16690,1,WestGate,0,0,1,"2014-11-17 09:05:17"
16691,1,WestGate,0,1,1,"2014-11-17 09:05:32"
